run_id,val_bpb,improved,best_val_bpb,embedding_lr,unembedding_lr,matrix_lr,scalar_lr,weight_decay,adam_beta1,adam_beta2,warmup_ratio,warmdown_ratio,dropout
56,1.16014673,0,1.08980307,0.9905006105,0.0170476190,0.0769413919,0.9563858364,0.3260073260,0.9660805861,0.8584051282,0.1832234432,0.6696703297,0.3776312576
57,1.09216488,0,1.08980307,0.7164102564,0.0049809524,0.0447619048,0.1453479853,0.4367521368,0.7900463980,0.9706554335,0.1115018315,0.8880830281,0.0691575092
58,1.12262381,0,1.08980307,0.6588400488,0.0191571429,0.0117765568,0.2599511600,0.1885225885,0.7134896215,0.8716131868,0.2961172161,0.8273260073,0.0268620269
59,1.16044524,0,1.08980307,1.1736019536,0.0180238095,0.0063736264,0.2014896215,0.4246642247,0.9246007326,0.9187692308,0.2024175824,0.6038339438,0.1498412698
60,1.09938197,0,1.08980307,0.8958608059,0.0029571429,0.0158241758,0.3279242979,0.4341880342,0.8386715507,0.9773868132,0.0863003663,0.5399511600,0.0129914530
61,1.12051437,0,1.08980307,0.4765811966,0.0070142857,0.0689743590,0.1344444444,0.2819291819,0.8784810745,0.9413284493,0.2574358974,0.3754578755,0.3458852259
62,1.09910417,0,1.08980307,0.1991208791,0.0163333333,0.0605494505,0.2161050061,0.2304029304,0.8354236874,0.9587572650,0.0424908425,0.2117460317,0.0251037851
63,1.10555725,0,1.08980307,1.1292307692,0.0044523810,0.0602564103,0.8956043956,0.3086691087,0.7651770452,0.8975562882,0.0066666667,0.4307448107,0.2744810745
64,1.08623037,1,1.08623037,0.2134432234,0.0071380952,0.0431135531,0.3077411477,0.1753357753,0.8628913309,0.8731413919,0.0232234432,0.6245421245,0.0356532357
65,1.12111809,0,1.08623037,1.1112576313,0.0111619048,0.0691941392,0.8327350427,0.1916971917,0.8985250305,0.8501455433,0.0071062271,0.2543345543,0.3567277167
66,1.10087122,0,1.08623037,0.5776800977,0.0026095238,0.0179487179,0.4364957265,0.1940170940,0.7354822955,0.8895150183,0.1586813187,0.5399511600,0.0140659341
67,1.10039451,0,1.08623037,0.0620757021,0.0164523810,0.0619413919,0.3369719170,0.2697191697,0.6677411477,0.8679018315,0.0323076923,0.7245665446,0.0498168498
68,1.11307529,0,1.08623037,0.1002686203,0.0108476190,0.0120329670,0.1799145299,0.2568986569,0.8215970696,0.9031233211,0.1253479853,0.7562148962,0.0232478632
69,1.10050805,0,1.08623037,0.2979731380,0.0137000000,0.0635714286,0.1847863248,0.2376068376,0.9386129426,0.9443120879,0.0648351648,0.5454212454,0.0852747253
70,1.10299148,0,1.08623037,0.7765079365,0.0195000000,0.0513919414,0.7837851038,0.3036630037,0.7907887668,0.9826627595,0.1508424908,0.2490598291,0.1401709402
71,1.09456077,0,1.08623037,1.0289743590,0.0034809524,0.0760439560,0.5993528694,0.1813186813,0.6339633700,0.8876957265,0.0698901099,0.4694261294,0.0729670330
72,1.12161295,0,1.08623037,0.0676923077,0.0064047619,0.0736813187,0.5390354090,0.1457875458,0.7242539683,0.9566832723,0.1383882784,0.8611233211,0.2176312576
73,1.09937536,0,1.08623037,0.3288644689,0.0168333333,0.0654578755,0.4821978022,0.0252747253,0.9320244200,0.9797518926,0.2309890110,0.6194627595,0.0534310134
74,1.09082849,0,1.08623037,0.2106349206,0.0128333333,0.0583516484,0.4395115995,0.1954822955,0.8109255189,0.9146576313,0.0662271062,0.4645421245,0.0634920635
75,1.10365406,0,1.08623037,0.2274847375,0.0152809524,0.0689560440,0.4678144078,0.0770451770,0.7216556777,0.9799702076,0.1271062271,0.1927960928,0.1298168498
76,1.10481589,0,1.08623037,0.7812820513,0.0030380952,0.0354212454,0.7612820513,0.0609279609,0.8794090354,0.9367074481,0.1553846154,0.4989255189,0.1826617827
77,1.10472122,0,1.08623037,0.8475579976,0.0115523810,0.0230036630,0.6341514042,0.1465201465,0.7278730159,0.9593394383,0.2238827839,0.8953113553,0.1064713065
78,1.09376299,0,1.08623037,0.6821489621,0.0075000000,0.0643223443,0.4230402930,0.3633699634,0.7837362637,0.9965257631,0.1737728938,0.5493284493,0.0387789988
79,1.10109503,0,1.08623037,1.1135042735,0.0189523810,0.0769047619,0.4186324786,0.3278388278,0.6480683761,0.8938085470,0.0443956044,0.6917460317,0.2094261294
80,1.13776860,0,1.08623037,0.0828571429,0.0025857143,0.0052380952,0.1875702076,0.3525030525,0.8368156288,0.9969260073,0.1822710623,0.1531379731,0.0403418803
81,1.12165070,0,1.08623037,0.5540903541,0.0030095238,0.0165201465,0.8737973138,0.4597069597,0.7069938950,0.8767072039,0.2758241758,0.3955799756,0.2448840049
82,1.10671900,0,1.08623037,0.9874114774,0.0193142857,0.0601282051,0.9944322344,0.2482295482,0.7673113553,0.9495152625,0.1082783883,0.8761660562,0.2730158730
83,1.09410436,0,1.08623037,0.2583760684,0.0189666667,0.0275824176,0.5916971917,0.1223443223,0.7688888889,0.8719406593,0.1018315018,0.3705738706,0.0563614164
84,1.10389631,0,1.08623037,0.5824542125,0.0197095238,0.0625824176,0.1112454212,0.1601953602,0.6523369963,0.9632327228,0.2224908425,0.2291330891,0.0790231990
85,1.11060597,0,1.08623037,0.7812820513,0.0122190476,0.0497252747,0.6346153846,0.2749694750,0.9507692308,0.9138571429,0.1249816850,0.1660317460,0.1145787546
86,1.17916104,0,1.08623037,1.1019902320,0.0025285714,0.0090842491,0.4982051282,0.0576312576,0.7275018315,0.8663372405,0.0212454212,0.6434920635,0.0314529915
87,1.10816255,0,1.08623037,0.8234065934,0.0048809524,0.0383150183,0.5478510379,0.3293040293,0.7931086691,0.9918319902,0.1192673993,0.1363369963,0.1844200244
88,1.12271373,0,1.08623037,0.6127838828,0.0040238095,0.0769597070,0.8153357753,0.4509157509,0.8498070818,0.8507641026,0.2978021978,0.1377045177,0.2186080586
89,1.16157922,0,1.08623037,0.7057387057,0.0191428571,0.0097619048,0.6443589744,0.3446886447,0.8912869353,0.9824808303,0.2877655678,0.4071062271,0.3284981685
