run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status,binary_string,norm_type,attention_type,mlp_type,value_embeddings,qk_norm,rope_base
89,1.10465600,49155.500,300.100,332.900,ok,001100,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
90,1.10339400,46806.500,300.300,331.700,ok,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
91,1.08475700,43852.500,300.600,329.900,ok,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
92,1.07412100,45012.500,300.200,330.100,ok,000110,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
93,1.07625600,40852.500,300.500,330.300,ok,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
94,1.10484300,49155.500,300.100,333.200,ok,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
95,1.09242300,51030.500,300.100,331.500,ok,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
96,1.09109100,53315.500,300.100,333.300,ok,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
97,1.07178000,45012.500,300.500,330.600,ok,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
98,1.07319300,45012.500,300.400,330.700,ok,010110,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
99,1.11129200,55109.500,300.700,335.000,ok,101101,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
